Title,Author,Genre,PublishedYear,ISBN
Rise of the Fallen,Robert White,Fiction,1966,1.65128E+11
Light Beyond the Walls,Matthew Allen,Non-fiction,1959,53578715069
Ashes and Embers,William Martin,Non-fiction,2003,8.98609E+12
The Broken Circle,John Smith,Fiction,1989,7.09175E+12
The Forgotten Path,Thomas Lewis,Biography,2004,4.31999E+12
Shadows of the Mind,Amelia Hall,Historical,1968,8.21211E+12
Whispers of the Past,Thomas Lewis,Historical,2019,5.33807E+12
Voices in the Dark,David Wilson,Fiction,1997,4.14451E+12
Storm over the Valley,David Wilson,Non-fiction,1951,5.46163E+11
The Hidden Truth,Daniel Martinez,Biography,1985,3.80029E+12
The Forgotten Path,Olivia Harris,Fiction,1964,8.50445E+11
Threads of Fate,Jessica Taylor,Biography,2006,3.47511E+12
A Song of Silence,James Anderson,Horror,2005,9.07035E+12
Winds of Change,David Wilson,Mystery,1999,3.71968E+12
Fragments of Time,Jessica Taylor,Non-fiction,2004,1.7216E+12
Threads of Fate,Robert White,Mystery,1980,3.79279E+12
The Forgotten Path,Michael Brown,Non-fiction,1958,1.01189E+12
Rise of the Fallen,Michael Brown,Science Fiction,2007,2.54017E+12
The Silent River,David Wilson,Biography,1991,56531905285
Storm over the Valley,Robert White,Thriller,1990,4.62631E+12
The Hidden Truth,Matthew Allen,Non-fiction,1974,8.60357E+12
Ashes and Embers,Emily Johnson,Fantasy,1988,5.40045E+12
Dancing with Dreams,Sophia Lee,Science Fiction,2016,3.42656E+12
A Song of Silence,Olivia Harris,Biography,1974,6.98933E+12
Dancing with Dreams,David Wilson,Horror,1995,2.73535E+11
Threads of Fate,Emily Johnson,Fiction,1998,9.48179E+12
A Song of Silence,Sophia Lee,Romance,2006,4.23916E+12
Dancing with Dreams,Isabella Clark,Non-fiction,1981,5.87337E+12
Dancing with Dreams,Abigail Young,Romance,1954,9.51679E+12
Whispers of the Past,Sarah Thompson,Horror,1960,8.38926E+12
Voices in the Dark,Robert White,Biography,1970,3.52261E+12
Winds of Change,Isabella Clark,Biography,2000,2.97854E+11
Ashes and Embers,Daniel Martinez,Historical,1989,6.73519E+12
Journey to Nowhere,Amelia Hall,Thriller,1977,5.62017E+12
A Song of Silence,Amelia Hall,Romance,1990,7.48525E+12
The Last Horizon,Daniel Martinez,Historical,1990,7.76701E+12
Storm over the Valley,David Wilson,Fiction,2012,7.17706E+12
The Forgotten Path,Mia Robinson,Biography,1959,4.3529E+12
The Silent River,David Wilson,Science Fiction,1966,5.05335E+12
Light Beyond the Walls,Sarah Thompson,Mystery,1979,2.56885E+12
Light Beyond the Walls,Sophia Lee,Fiction,1985,8.84492E+12
The Forgotten Path,John Smith,Biography,1956,2.38007E+12
The Hidden Truth,Olivia Harris,Biography,1953,8.79555E+12
The Forgotten Path,Jessica Taylor,Science Fiction,1996,1.38697E+12
Journey to Nowhere,John Smith,Horror,1984,6.70824E+12
Journey to Nowhere,Michael Brown,Non-fiction,1989,8.01149E+12
Dancing with Dreams,Emily Johnson,Science Fiction,2016,8.4827E+12
Threads of Fate,Olivia Harris,Historical,2001,8.3068E+12
The Last Horizon,Michael Brown,Biography,1987,7.88059E+12
The Silent River,Laura Garcia,Historical,1955,8.5723E+12
